Abkhaz|ab|abk|abk|abks|
Afar|aa|aar|aar|aars|
Afrikaans|af|afr|afr|afrs|
Akan|ak|aka|aka||
Albanian|sq|alb|sqi||
Amharic|am|amh|amh||
Arabic|ar|ara|ara||
Aragonese|an|arg|arg||
Armenian|hy|arm|hye||
Assamese|as|asm|asm||
Avaric|av|ava|ava||
Avestan|ae|ave|ave||
Aymara|ay|aym|aym||
Azerbaijani|az|aze|aze||
Bambara|bm|bam|bam||
Bashkir|ba|bak|bak||
Basque|eu|baq|eus||
Belarusian|be|bel|bel||
Bengali, Bangla|bn|ben|ben||
Bihari|bh|bih|bih||
Bislama|bi|bis|bis||
Bosnian|bs|bos|bos|boss|
Breton|br|bre|bre||
Bulgarian|bg|bul|bul|buls|
Burmese|my|bur|mya||
Catalan, Valencian|ca|cat|cat||
Chamorro|ch|cha|cha||
Chechen|ce|che|che||
Chichewa, Chewa, Nyanja|ny|nya|nya||
Chinese|zh|chi|zho||
Chuvash|cv|chv|chv||
Cornish|kw|cor|cor||
Corsican|co|cos|cos||
Cree|cr|cre|cre||
Croatian|hr|hrv|hrv||
Czech|cs|cze|ces||
Danish|da|dan|dan||
Divehi, Dhivehi, Maldivian,|dv|div|div||
Dutch|nl|dut|nld||
Dzongkha|dz|dzo|dzo||
English|en|eng|eng|engs|
Esperanto|eo|epo|epo||
Estonian|et|est|est||
Ewe|ee|ewe|ewe||
Faroese|fo|fao|fao||
Fijian|fj|fij|fij||
Finnish|fi|fin|fin||
French|fr|fre|fra|fras|
Fula, Fulah, Pulaar, Pular|ff|ful|ful||
Galician|gl|glg|glg||
Georgian|ka|geo|kat||
German|de|ger|deu|deus|
Greek, Modern|el|gre|ell|ells|
Guaraní|gn|grn|grn||
Gujarati|gu|guj|guj||
Haitian, Haitian Creole|ht|hat|hat||
Hausa|ha|hau|hau||
Hebrew (modern)|he|heb|heb||
Herero|hz|her|her||
Hindi|hi|hin|hin|hins|
Hiri Motu|ho|hmo|hmo||
Hungarian|hu|hun|hun||
Interlingua|ia|ina|ina||
Indonesian|id|ind|ind||
Interlingue|ie|ile|ile||
Irish|ga|gle|gle||
Igbo|ig|ibo|ibo||
Inupiaq|ik|ipk|ipk||
Ido|io|ido|ido|idos|
Icelandic|is|ice|isl||
Italian|it|ita|ita|itas|
Inuktitut|iu|iku|iku||
Japanese|ja|jpn|jpn||
Javanese|jv|jav|jav||
Kalaallisut, Greenlandic|kl|kal|kal||
Kannada|kn|kan|kan||
Kanuri|kr|kau|kau||
Kashmiri|ks|kas|kas||
Kazakh|kk|kaz|kaz||
Khmer|km|khm|khm||
Kikuyu, Gikuyu|ki|kik|kik||
Kinyarwanda|rw|kin|kin||
Kyrgyz|ky|kir|kir||
Komi|kv|kom|kom||
Kongo|kg|kon|kon||
Korean|ko|kor|kor||
Kurdish|ku|kur|kur||
Kwanyama, Kuanyama|kj|kua|kua||
Latin|la|lat|lat|lats|
Luxembourgish, Letzeburgesch|lb|ltz|ltz||
Ganda|lg|lug|lug||
Limburgish, Limburgan, Limburger|li|lim|lim||
Lingala|ln|lin|lin||
Lao|lo|lao|lao||
Lithuanian|lt|lit|lit||
Luba-Katanga|lu|lub|lub||
Latvian|lv|lav|lav||
Manx|gv|glv|glv||
Macedonian|mk|mac|mkd||
Malagasy|mg|mlg|mlg||
Malay|ms|may|msa||
Malayalam|ml|mal|mal||
Maltese|mt|mlt|mlt||
M?ori|mi|mao|mri||
Marathi (Mar??h?)|mr|mar|mar||
Marshallese|mh|mah|mah||
