100Links|100links.supereva.it|q||
30sites|30sites|q||
4loot|4loot.com|q||
@mail.ru|go.mail.ru/search|q||
abcsearch.com|abcsearch.com|terms||
Accentice|accentice.com|q||
Alexa|alexa.com|q|alexa||
Alice|ricerca.alice.it|qs|alice||
Alice|search.alice.it|qs||
Alice|rechercher.aliceadsl.fr|qs||
Altavista|.altavista.com|q||
Aol|aolrecherches.aol.fr|query||
Aol|search.aol.com|query||
Aol|recherche.aol.fr|q||
Arianna|arianna.libero.it|query||
Ask|ask.com|ask||
Ask|ask.com|q||
Babylon Search|search.babylon.com|q||
Babylon Search|search.babylon.com|search.babylon.com/web/|babsrc|
Bing|bing.com|q||
Bing|search.live.com|q||
Certified Toolbar|search.certified-toolbar.com|q||
ChatZum|search.chatzum.com|q||
ChatZum|searchsafer.com|q||
Daum|search.daum.net|q||
DMOZ|search.dmoz.org|search||
Dogpile|dogpile.com|q||
Eannu|fr.eannu.com|fr.eannu.com/|.htm|
Ecosia|ecosia.org/search|q||
Excite|excite.|q||
eo.st|eo.st|x_query||
Foxtab|search.foxtab.com|q||
Free|search.free.fr|qs||
Freenet.de|suche.freenet.de|query||
Funmoods|start.funmoods.com|q||
Google Beta|encrypted.google.com|q||
Google Blog Search|blogsearch.google.|q||
Google Groups|groups.google.|q||
Google Images|/imgres|q||
Google Images|/imgres|imgurl||
Google Images|images.google|q||
Google Maps|maps.google.|q||
Google cache|webcache.googleusercontent|q||
Google Translate|translate.google|u||
Google|www.google.|q||
Handy Cafe|search.handycafe.com|q||
HotBot|hotbot.|query||
Iadadh|iadah.com|q||
ICQ|search.icq.com|q||
Inbox|www2.inbox.com/search|q||
Incredimail|incredimail.com|q||
ItaliaPuntoNet|italiapuntonet.net|search||
ixquick|ixquick.com|query||
Glarysoft|isearch.glarysoft.com|q||
Hooseek|hooseek.com/web|recherche||
Kataweb|kataweb.it|q||
Le moteur|www.lemoteur.fr|rdata||
Lost|lo.st/cgi-bin|x_query||
Lycos|cerca.lycos.it|query||
Lycos|lycos.|q||
Metacrawler|metacrawler.|q||
My Way|mysearch.myway.com|searchfor||
MyWebSearch|search.mywebsearch.com|searchfor||
MyStart Incredibar|search.incredibar.com|q||
MyStart Smilebox|search.smilebox.com|q||
MyStart Hiyo|search.hiyo.com|q||
PagineGialle|paginegialle.it|qs||
Plus Network|plusnetwork.com|q||
Rambler|nova.rambler.ru/srch|query||
Rpidity|search.rpidity.com|q||
SearchCanvas|searchcanvas.com|q||
SearchCompletion|search.searchcompletion.com|q||
Searcheo|searcheo.fr/recherche|q||
Search Mobile online|searchmobileonline.com/search|q||
Search WebPlayer|search.webplayer.tv|q||
SearchYa|searchya.com|q||
Search.com|search.com|q||
Search.it|search.it|srctxt||
Search.conduit|search.conduit.com|q||
Search.alot|search.alot.com|q||
Search.avg|search.avg.com|q||
Search.ke.voila.fr|search.ke.voila.fr|rdata||
Search.Icompleteu|search.icompleteu.com|q||
Search.Softonic|search.softonic|q||
Search-Guru|search-guru.com|q||
Search-results|search-results.com|q||
Search-Web|search-web.net|q||
SPEEDbit|home.speedbit.com|q||
Start.InfoSpace|start.infospace|q||
Startpagina|startgoogle.startpagina|q||
Startsiden|www.startsiden.no|q||
Supereva|supereva.it|q||
sweetim|search.sweetim.|q||
Swisscom|search.bluewin.ch|q||
Teoma|teoma.com|q||
Tiscali|search-dyn.tiscali.|key||
Vindel.nl|www.vindel.nl|q||
Virgilio|ricerca.alice.it/ricerca|qs||
Virgilio|search.virgilio.it|qs||
Voila|voila.fr|kw||
Votre Recherche|www3.mon-portail.com|q||
Votre Recherche|sq.trouver.la|q||
Web.de|web.de|su||
Wuuta|www.wuuta.com|q||
www2-mon-portail|www2.mon-portail|q||
Yahoo|search.yahoo.com|p||
Yahoo|m.yahoo.com|p||
Yahoo|fr.search.yahoo.com|p||
Yahoo|alltheweb.com|q||
Yandex|yandex.ru|text||
YouGoo|www.yougoo.|q||
