100Links|100links.supereva.it|q|
2020Search|2020search.c|us|st|pn|1|
abcsearch.com|abcsearch.com|terms|
Alexa|alexa.com|q|
Alice|ricerca.alice.it|qs|
Alice|search.alice.it|qs|
Alltheweb|alltheweb.com|q|
alot|search.alot.com|q
Altavista|.altavista.com|q|
Aol|aolrecherches.aol.fr|query|
Aol|search.aol.com|query|
Arianna|arianna.libero.it|query|
Ask|ask.com|ask|
Ask|ask.com|q|
Bing|bing.com|q|
Clarence|search.clarence.com|q|
DMOZ|search.dmoz.org|search|
Dogpile|dogpile.com|q|
encrypted.google|encrypted.google.com|q
Excite|excite.|q|
Freenet.de|suche.freenet.de|query|
Search-results|fr.search-results.|q
search.yahoo|fr.search.yahoo.com|p
Gazzetta|search.gazzetta.it|q|
Godago|.godago.com|keywords|
Google Blog Search|blogsearch.google.|q|
Google Groups|groups.google.|q|
Google Images|images.google.|q|
Google|www.google.|q|
HotBot|hotbot.*|query|
ICQ|search.icq.com|q|
Il Trovatore|categorie.iltrovatore.it|query|
Il Trovatore|search.iltrovatore.it|q|
Incredimail|incredimail.com|q|
ItaliaPuntoNet|italiapuntonet.net|search|
ixquick|ixquick.com|query|
Jumpy|servizi.mediaset.it|searchWord|
Kataweb|kataweb.it|q|
Lycos|cerca.lycos.it|query|
Lycos|lycos.|q|
maps.google|maps.google.fr|q
Metacrawler|metacrawler.|q|
MSN|msn.|q|
My Search|mysearch.com|searchfor|
My Way|mysearch.myway.com|searchfor|
Netscape Search|search.netscape.com|query|
Overture|overture.com|Keywords|
PagineGialle|paginegialle.it|qs|
Rambler|nova.rambler.ru/srch|query|
rechercher.aliceadsl|rechercher.aliceadsl.fr|q
Search|search.com|q|
Search|search.it|srctxt|
search.autocompletepro|search.autocompletepro.com|q
search.babylon|search.babylon.com|q
StartNow|search.startnow.|q|
Supereva|supereva.it|q|
sweetim|search.sweetim.|q
Teoma|teoma.com|q|
Tiscali|search-dyn.tiscali.|key|
Virgilio|ricerca.alice.it/ricerca|qs|
Virgilio|search.virgilio.it|qs|
Voilà|voila.fr|kw|
Web.de|web.de|su|
Windows Live|search.live.com|q|
Yahoo|search.yahoo.com|p|
Yandex|yandex.ru/yandsearch|text|

